FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores/Hygiene,Scores/Structural,Scores/ConfidenceInManagement,SchemeType,NewRatingPending,Geocode/Longitude,Geocode/Latitude,RatingDate/_xsi:nil
783784,15/00109/MIXED,19th Hole,Restaurant/Cafe/Canteen,1,Kirkby Golf Club,Ingoe Lane,Field Lane Estate,Knowsley,L32 4SS,5,fhrs_5_en-GB,2018-03-06,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,5,5,5,FHRS,False,-2.90618700000000,53.47333600000000,
858273,00771/4002/2/000,33 Signal Squadron,Restaurant/Cafe/Canteen,1,Liverpool Road,Huyton,Knowsley,,L36 3RW,5,fhrs_5_en-GB,2019-08-17,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.84453300000000,53.42079900000000,
220742,00124/0036/0/000,Aaron Grange Care Home,Hospitals/Childcare/Caring Premises,5,36 Blacklow Brow,Huyton,Knowsley,,L36 5XG,5,fhrs_5_en-GB,2019-07-22,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,5,0,FHRS,False,-2.84303400000000,53.40889900000000,
707417,14/00166/FOOD,ABI Mini Market,Retailers - supermarkets/hypermarkets,7840,7 Baileys Lane,Halewood,Knowsley,,L26 2XB,3,fhrs_3_en-GB,2018-07-23,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,10,10,10,FHRS,False,-2.82287300000000,53.36665800000000,
650617,14/00070/FOOD,Ace Gem Jars,Other catering premises,7841,,,,,,5,fhrs_5_en-GB,2017-05-03,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,,,
729340,14/00128/COM,Activate Arts Ltd,School/college/university,7845,The Bracknell Centre,Bracknell Avenue,Southdene,Kirkby,L32 9PW,5,fhrs_5_en-GB,2019-03-20,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.88915500000000,53.47368900000000,
1128784,19/00043/COM,Adisco,Retailers - other,4613,90 Page Moss Lane,Roby,Knowsley,,L14 0LX,3,fhrs_3_en-GB,2019-04-11,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,10,10,10,FHRS,False,-2.86816100000000,53.41576700000000,
1136412,19/00058/FOOD,Adventure Cove Cafe,Restaurant/Cafe/Canteen,1,Halewood Leisure Centre,Baileys Lane,Halewood,Knowsley,L26 0TY,4,fhrs_4_en-GB,2019-09-06,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,10,0,10,FHRS,False,-2.82331180000000,53.36061270000000,
220953,00771/0070/0/000,Ainsburys,Retailers - other,4613,70 Liverpool Road,Huyton,Knowsley,,L36 3RF,3,fhrs_3_en-GB,2019-07-11,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,10,10,10,FHRS,False,-2.86330300000000,53.42106900000000,
879160,16/00159/FOOD,Aintree Cakes,Retailers - other,4613,58 Kirkby Market,Market Square,Kirkby Town Centre,Knowsley,L32 8RG,5,fhrs_5_en-GB,2019-04-16,412,Knowsley,http://www.knowsley.gov.uk,environmentalhealth@knowsley.gov.uk,0,0,0,FHRS,False,-2.88569600000000,53.48198400000000,
