FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate/_xsi:nil,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,SchemeType,NewRatingPending,Geocode/Longitude,Geocode/Latitude,RatingDate,Scores/Hygiene,Scores/Structural,Scores/ConfidenceInManagement,AddressLine2
1264123,78306,@Desserts,Takeaway/sandwich shop,7844,"17, Central Shopping Centre Ranelagh Street",Liverpool,Liverpool,L1 1QE,AwaitingInspection,fhrs_awaitinginspection_en-GB,true,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.98014560000000,53.40460720000000,,,,,
1243958,71900,08 Burger Unit,Mobile caterer,7846,,,,,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,,,2018-08-24,0,0,0,
1244390,832807,109 Allerton,Restaurant/Cafe/Canteen,1,109 - 111 Allerton Road,Liverpool,Liverpool,L18 2DD,AwaitingInspection,fhrs_awaitinginspection_en-GB,true,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.90749360000000,53.38555820000000,,,,,Mossley Hill
1034605,PI/000272350,2 in 1,Takeaway/sandwich shop,7844,54 Durning Road,Liverpool,Liverpool,L7 5NG,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.94812470000000,53.40585600000000,2018-03-12,5,5,5,
1243646,71414,200 Degrees Coffee Shop,Restaurant/Cafe/Canteen,1,"Unit 35, The Met Quarter, 43 Whitechapel",Liverpool,Liverpool,L1 6DA,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.98574650000000,53.40679030000000,2019-11-07,5,5,5,
1243927,71862,22 Black Trailer,Mobile caterer,7846,,,,,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,,,2018-01-25,0,0,0,
1243957,71899,22 Foot Tex Burger,Mobile caterer,7846,"Willow Catering 22 Foot Tex Burger, Paula Works Charnock Road",Liverpool,Liverpool,L9 7ET,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.94114708900452,53.45118713378910,2018-08-24,0,0,0,
1243924,71859,22 Twin,Mobile caterer,7846,,,,,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,,,2018-01-25,0,0,0,
1048012,PI/000260241,24 Kitchen Street,Pub/bar/nightclub,7843,24 Kitchen Street,Liverpool,Liverpool,L1 0AN,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.98191390000000,53.39731720000000,2020-02-27,5,5,5,
650694,PI/000075610,24/7@Aintree,Retailers - other,4613,"Petrol Filling Station, 48 Hall Lane",Liverpool,Liverpool,L9 0EX,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.95494794845581,53.46627426147460,2018-10-30,0,0,5,Walton
1243811,71728,3 Wheeler Trailor,Mobile caterer,7846,,,,,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,,,2018-08-24,0,0,0,
779714,PI/000261690,30 James Street Hotel,Hotel/bed & breakfast/guest house,7842,"Home Of The Titanic, 30 James Street",Liverpool,Liverpool,L2 7PS,3,fhrs_3_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,,,2019-08-16,10,10,10,City Centre
498476,PI/000245741,4 Goodness Cake,Other catering premises,7841,,,,,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,,,2015-03-02,0,0,0,
1265836,78394,4 Nations Food Company Ltd,Restaurant/Cafe/Canteen,1,"Third Floor, West Tower, 8 Brook Street",Liverpool,Liverpool,L3 9PJ,AwaitingInspection,fhrs_awaitinginspection_en-GB,true,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.99643970000000,53.40991960000000,,,,,
586811,PI/000259103,5 Fifty Bistro,Restaurant/Cafe/Canteen,1,550 Aigburth Road,Liverpool,Liverpool,L19 3QG,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.91644090000000,53.36322430000000,2019-05-03,5,5,0,Cressington
1243633,71342,51 Mill Lane,Pub/bar/nightclub,7843,51 Mill Lane,Liverpool,Liverpool,L12 7HZ,4,fhrs_4_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.91098900000000,53.43026000000000,2019-08-06,0,10,5,West Derby
1243592,71166,52 Rose Lane,Restaurant/Cafe/Canteen,1,52 Rose Lane,Liverpool,Liverpool,L18 5ED,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.91343300000000,53.37996680000000,2019-08-27,0,5,0,
1243959,71901,56 Burger Unit,Mobile caterer,7846,,,,,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,,,2018-08-24,0,0,0,
496635,PI/000083672,60 Hope Street Ltd,Restaurant/Cafe/Canteen,1,60 Hope Street,Liverpool,Liverpool,L1 9BZ,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.97139650000000,53.40022020000000,2019-07-19,0,5,0,
1257465,78196,7 Spices,Takeaway/sandwich shop,7844,7 Cherry Avenue,Liverpool,Liverpool,L4 6UY,AwaitingInspection,fhrs_awaitinginspection_en-GB,true,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.95132810000000,53.44048050000000,,,,,
902177,PI/000267568,81 Renshaw,Restaurant/Cafe/Canteen,1,81 Renshaw Street,Liverpool,Liverpool,L1 2SJ,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.97575870000000,53.40287230000000,2019-04-18,0,0,0,
1243530,21383,92 Degrees Coffee,Restaurant/Cafe/Canteen,1,24 Hardman Street,Liverpool,Liverpool,L1 9AX,AwaitingInspection,fhrs_awaitinginspection_en-GB,true,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.97134850000000,53.40141610000000,,,,,
1243983,71930,92 Degrees Coffee,Restaurant/Cafe/Canteen,1,36 Myrtle Street,Liverpool,Liverpool,L7 7AP,2,fhrs_2_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.96364307403564,53.40053558349610,2019-01-29,5,15,10,
1243524,19991,92 Degrees Coffee,Restaurant/Cafe/Canteen,1,"Cafe, 49 Jamaica Street",Liverpool,Liverpool,L1 0AH,AwaitingInspection,fhrs_awaitinginspection_en-GB,true,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.98012340000000,53.39538090000000,,,,,
1243489,14444,99p STORE,Retailers - other,4613,"44 - 45, Belle Vale Shopping Centre Childwall Valley Road",Liverpool,Liverpool,L25 2RQ,AwaitingInspection,fhrs_awaitinginspection_en-GB,true,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.85909780000000,53.39047400000000,,,,,Belle Vale
1243552,4778,A & A TAKEAWAY CAFE,Restaurant/Cafe/Canteen,1,74 Smithdown Road,Liverpool,Liverpool,L7 4JQ,4,fhrs_4_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.94587900000000,53.39710780000000,2019-08-13,10,5,5,Picton
496798,PI/000099726,A & M Higham,Retailers - other,4613,84 Mill Lane,Liverpool,Liverpool,L12 7JD,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.91128180000000,53.43058140000000,2017-03-28,0,0,0,West Derby
498758,PI/000247830,A A News,Retailers - other,4613,27 Broad Green Road,Liverpool,Liverpool,L13 5SD,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.91208670000000,53.41263350000000,2020-01-20,0,0,0,
521535,PI/000100159,A D M Milling Ltd,Manufacturers/packers,7839,Adm Milling Mill Street,Liverpool,Liverpool,L8 6QZ,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.97197604179382,53.38470077514650,2019-11-28,0,0,0,Dingle
495964,PI/000002829,A F Newsagents,Retailers - other,4613,158 Aigburth Road,Liverpool,Liverpool,L17 7BR,5,fhrs_5_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,FHRS,False,-2.94968740000000,53.37902800000000,2018-06-22,0,0,0,St Michaels
