FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores/Hygiene,Scores/Structural,Scores/ConfidenceInManagement,SchemeType,NewRatingPending,Geocode/Longitude,Geocode/Latitude,RatingDate/_xsi:nil
945921,PI/100048378,"@ 142 Bar & Bistro, Lauries Centre",Restaurant/Cafe/Canteen,1,142 Claughton Road,Birkenhead,Wirral,Merseyside,CH41 6EY,4,fhrs_4_en-GB,2019-02-25,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,5,5,10,FHRS,False,-3.02825200000000,53.39097900000000,
1109066,PI/010006909,@no.6,Pub/bar/nightclub,7843,6d Church Road,Bebington,Wirral,Merseyside,CH63 7PH,3,fhrs_3_en-GB,2019-03-02,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,10,10,10,FHRS,False,-3.00306500000000,53.34937700000000,
729523,PI/100046105,10 O'Clock Shop,Retailers - other,4613,18 Grange Mount,Birkenhead,Wirral,Merseyside,CH43 4XW,3,fhrs_3_en-GB,2020-02-15,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,10,10,10,FHRS,False,-3.03709200000000,53.38838700000000,
395130,PI/100020508,107 Dining Room,Restaurant/Cafe/Canteen,1,107 Dining Room,Heswall,Wirral,,CH60 0AF,4,fhrs_4_en-GB,2019-10-21,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,5,10,5,FHRS,False,-3.09841203689575,53.32770919799800,
394530,PI/000087514,113 Fish Bar,Takeaway/sandwich shop,7844,113 Poulton Road,Poulton,Wirral,Merseyside,CH44 9DE,3,fhrs_3_en-GB,2018-07-25,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,10,10,10,FHRS,False,-3.03002200000000,53.41194500000000,
394366,PI/000062132,294 Laird Street,Pub/bar/nightclub,7843,Birkenhead,Wirral,Merseyside,,CH41 8ER,3,fhrs_3_en-GB,2018-10-09,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,10,10,10,FHRS,False,-3.05541896820068,53.40113449096680,
395495,PI/100039186,3 Bs Cafe,Restaurant/Cafe/Canteen,1,443 Price Street,Birkenhead,Wirral,Merseyside,CH41 4JG,3,fhrs_3_en-GB,2020-03-04,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,10,5,10,FHRS,False,-3.03687500000000,53.39862700000000,
569892,PI/100044216,4 in 1 Express,Takeaway/sandwich shop,7844,122 Duke Street,Birkenhead,Wirral,Merseyside,CH41 8BT,4,fhrs_4_en-GB,2019-11-06,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,5,5,10,FHRS,False,-3.03952600000000,53.39695000000000,
547014,PI/100044679,A & A News,Retailers - other,4613,184 Brighton Street,Egremont,Wirral,Merseyside,CH44 8DY,4,fhrs_4_en-GB,2018-12-26,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,5,5,10,FHRS,False,-3.02500000000000,53.41704000000000,
394658,PI/000108977,A I Roberts,Retailers - other,4613,7 The Crescent,West Kirby,Wirral,Merseyside,CH48 4HL,5,fhrs_5_en-GB,2019-05-18,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,5,5,5,FHRS,False,-3.18396200000000,53.37244000000000,
1109072,PI/010009569,A P Cafes,Restaurant/Cafe/Canteen,1,Within DW Sport Fitness,Welton Road,Bromborough,Wirral,CH62 3PN,4,fhrs_4_en-GB,2019-02-06,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,5,5,10,FHRS,False,-2.97572398185730,53.34084701538090,
1021735,PI/010005492,A Show of Confection,Other catering premises,7841,,,,,,4,fhrs_4_en-GB,2017-11-10,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,0,0,10,FHRS,False,,,
546826,PI/000072978,A&Q News - Supernews,Retailers - other,4613,23 Milton Pavement,Birkenhead,Wirral,Merseyside,CH41 2YA,Exempt,fhrs_exempt_en-GB,2017-08-14,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,,,,FHRS,False,-3.02440200000000,53.39030300000000,
546811,PI/000056937,Abbeyfield,Hospitals/Childcare/Caring Premises,5,2 Hoyle Road,Hoylake,Wirral,Merseyside,CH47 3AQ,5,fhrs_5_en-GB,2018-03-29,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,5,0,5,FHRS,False,-3.17402900000000,53.39822000000000,
569852,PI/000029786,Abbeyfield Lear House,Hospitals/Childcare/Caring Premises,5,17 Darmonds Green,West Kirby,Wirral,Merseyside,CH48 5DT,5,fhrs_5_en-GB,2019-07-10,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,0,0,5,FHRS,False,-3.18043208122253,53.37525177001950,
989594,PI/100048502,ABI Express,Retailers - supermarkets/hypermarkets,7840,10-12 Grange Road West,Birkenhead,Wirral,Merseyside,CH41 4DA,4,fhrs_4_en-GB,2017-06-12,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,5,5,10,FHRS,False,-3.03246500000000,53.38917300000000,
1034739,PI/010005553,Abyssinia Kitchen,Restaurant/Cafe/Canteen,1,Abyssinia Kitchen,Heswall,Wirral,,CH60 7RJ,5,fhrs_5_en-GB,2019-08-30,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,5,0,5,FHRS,False,-3.09677290916443,53.33521270751950,
395128,PI/100020451,Acorn,Pub/bar/nightclub,7843,Village Road,Higher Bebington,Wirral,Merseyside,CH63 8PT,5,fhrs_5_en-GB,2018-02-19,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,5,5,0,FHRS,False,-3.02644400000000,53.35517400000000,
394953,PI/100003882,Acorn House Residential Home,Hospitals/Childcare/Caring Premises,5,18 Cearns Road,Oxton,Wirral,Merseyside,CH43 1XE,3,fhrs_3_en-GB,2019-10-02,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,10,5,10,FHRS,False,-3.04682700000000,53.38558700000000,
394032,PI/000000472,Acrefield House,Hospitals/Childcare/Caring Premises,5,2 Acrefield Road,Prenton,Wirral,Merseyside,CH42 8LD,5,fhrs_5_en-GB,2020-01-18,435,Wirral,http://www.wirral.gov.uk,environmentalhealth@wirral.gov.uk,0,5,0,FHRS,False,-3.03874600000000,53.36988200000000,
