FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores/Hygiene,Scores/Structural,Scores/ConfidenceInManagement,SchemeType,NewRatingPending,Geocode/Longitude,Geocode/Latitude,RatingDate/_xsi:nil,AddressLine1
108844,3907,(Cafe Vita) Crosby Leisure Centre,Restaurant/Cafe/Canteen,1,Mariners Road,Blundellsands,"Liverpool, Merseyside",L23 6SX,5,fhrs_5_en-GB,2018-10-05,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,5,FHRS,False,-3.04330500000000,53.48311200000000,,
1125053,39490,@Miss Paula's,Hospitals/Childcare/Caring Premises,5,22 Fairholme Road,Crosby,Sefton Council,L23 0TJ,Exempt,fhrs_exempt_en-GB,2018-09-17,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,,,,FHRS,False,-3.02148570000000,53.48832390000000,,
1260625,77492,@the_scouse_chef,Other catering premises,7841,,,,,AwaitingInspection,fhrs_awaitinginspection_en-GB,,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,,,,FHRS,False,,,true,
1217505,47899,1:1 Diet by Cambridge Weight Plan Formby,Retailers - other,4613,,,,,5,fhrs_5_en-GB,2020-07-16,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,,,,
1177742,91887,1:1 Diet Southport,Other catering premises,7841,,,,,Exempt,fhrs_exempt_en-GB,2019-09-16,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,,,,FHRS,False,,,,
1177736,177091,14 Bar & Grill,Restaurant/Cafe/Canteen,1,31 Trinity Road,Bootle,Sefton Council,L20 3TB,4,fhrs_4_en-GB,2019-10-09,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,10,FHRS,False,-2.98991799354553,53.44712448120120,,Daniel House
146019,8803,1st Lydiate Scout Group Car Boot Caterers,Other catering premises,7841,288 Southport Road,Lydiate,Sefton Council,L31 4EQ,5,fhrs_5_en-GB,2019-09-21,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,0,FHRS,False,-2.95782400000000,53.53440700000000,,
93207,2665,1st Steps,Hospitals/Childcare/Caring Premises,5,42-44 Irlam Road,Bootle,Sefton Council,L20 4AL,5,fhrs_5_en-GB,2019-01-18,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,0,5,FHRS,False,-2.99915300000000,53.45054500000000,,
45262,10983,1st Steps,Hospitals/Childcare/Caring Premises,5,15 Cambridge Road,Waterloo,Merseyside,L22 1RR,5,fhrs_5_en-GB,2019-01-24,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,0,5,FHRS,False,-3.02254600000000,53.46965500000000,,
486147,2227,1st Stop,Retailers - other,4613,2 Hampton Road,Southport,Merseyside,PR8 6SS,5,fhrs_5_en-GB,2019-07-24,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,0,FHRS,False,-2.99264600000000,53.64196900000000,,
146581,898,3A's Petroleum Ltd,Retailers - other,4613,57 Cemetery Road,Southport,Merseyside,PR8 5EF,5,fhrs_5_en-GB,2018-05-22,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,5,5,FHRS,False,-2.99904500000000,53.63623500000000,,
1061351,3252,3G (Ainsdale Sports Club),Other catering premises,7841,772 Liverpool Road,Ainsdale,Sefton Council,PR8 3QF,5,fhrs_5_en-GB,2018-03-01,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,-3.03830410000000,53.59555860000000,,
735558,6127,3S Food & Wine,Retailers - other,4613,203 Strand Road,Bootle,Sefton Council,L20 3HJ,5,fhrs_5_en-GB,2017-07-27,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,5,FHRS,False,-2.98935700000000,53.45278300000000,,
1051520,101940,48 Bakes,Other catering premises,7841,,,,,5,fhrs_5_en-GB,2018-06-06,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,,,,
132260,6406,57 Orient Takeaway,Takeaway/sandwich shop,7844,81 Upper Aughton Road,Birkdale,Sefton Council,PR8 5ND,3,fhrs_3_en-GB,2019-03-25,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,10,10,FHRS,False,-3.00774900000000,53.63588400000000,,
973304,169818,600 degrees,Other catering premises,7841,,,,,5,fhrs_5_en-GB,2017-05-22,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,,,,
1003052,170187,92o,Restaurant/Cafe/Canteen,1,365 Lord Street,Southport,Sefton Council,PR8 1NH,5,fhrs_5_en-GB,2019-12-10,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,5,5,FHRS,False,-3.00570797920227,53.64865493774410,,
650942,984,A & D Cassidy,Retailers - other,4613,33 Chapel Lane,Formby,Merseyside,L37 4DL,5,fhrs_5_en-GB,2017-05-24,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,0,FHRS,False,-3.06151700000000,53.55703700000000,,
537902,304,A & F Enterprises,Retailers - other,4613,20 Bedford Road,Birkdale,Sefton Council,PR8 4HY,5,fhrs_5_en-GB,2018-01-18,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,0,0,5,FHRS,False,-3.00439000000000,53.62627600000000,,
72131,164137,A Fresh Start,Restaurant/Cafe/Canteen,1,666b Liverpool Road,Ainsdale,Sefton Council,PR8 3LT,5,fhrs_5_en-GB,2020-01-22,424,Sefton,http://www.sefton.gov.uk/,ETSContact@sefton.gov.uk,5,0,5,FHRS,False,-3.03488750000000,53.60290500000000,,
