FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine2,AddressLine3,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores/Hygiene,Scores/Structural,Scores/ConfidenceInManagement,SchemeType,NewRatingPending,Geocode/Longitude,Geocode/Latitude,AddressLine1,RatingDate/_xsi:nil,AddressLine4,RightToReply
435363,B05HSH2SAN/1,2 U Food Limited,Other catering premises,7841,2 Sandwash Close,Rainford,WA11 8LY,5,fhrs_5_en-GB,2019-10-02,421,St Helens,http://www.sthelens.gov.uk,environmentalhealth@sthelens.gov.uk,5,5,5,FHRS,False,-2.77073400000000,53.49197600000000,,,,
435367,B12HSH2SAN/1,2 U Food Limited (Plate 44),Mobile caterer,7846,2 Sandwash Close,Rainford,WA11 8LY,5,fhrs_5_en-GB,2018-07-09,421,St Helens,http://www.sthelens.gov.uk,environmentalhealth@sthelens.gov.uk,0,0,0,FHRS,False,-2.77073400000000,53.49197600000000,,,,
731253,B12HSH2SAN/2,2 U Food Limited LS59 WFU,Mobile caterer,7846,2 Sandwash Close,Rainford,WA11 8LY,5,fhrs_5_en-GB,2018-01-18,421,St Helens,http://www.sthelens.gov.uk,environmentalhealth@sthelens.gov.uk,5,0,0,FHRS,False,-2.77073400000000,53.49197600000000,,,,
735840,B12HSH2SAN/13,2 U Food Limited LS59 WFZ,Mobile caterer,7846,2 Sandwash Close,Rainford,WA11 8LY,5,fhrs_5_en-GB,2018-03-20,421,St Helens,http://www.sthelens.gov.uk,environmentalhealth@sthelens.gov.uk,0,0,0,FHRS,False,-2.77073400000000,53.49197600000000,,,,
735842,B12HSH2SAN/15,2 U Food Limited LT59 WOH,Mobile caterer,7846,2 Sandwash Close,Rainford,WA11 8LY,5,fhrs_5_en-GB,2018-04-18,421,St Helens,http://www.sthelens.gov.uk,environmentalhealth@sthelens.gov.uk,5,5,5,FHRS,False,-2.77073400000000,53.49197600000000,,,,
735850,B12HSH2SAN/9,2 U Food Limited MK10 ODW,Mobile caterer,7846,2 Sandwash Close,Rainford,WA11 8LY,5,fhrs_5_en-GB,2018-03-14,421,St Helens,http://www.sthelens.gov.uk,environmentalhealth@sthelens.gov.uk,5,5,0,FHRS,False,-2.77073400000000,53.49197600000000,,,,
735844,B12HSH2SAN/17,2 U Food Limited MK14 EJX,Mobile caterer,7846,2 Sandwash Close,Rainford,WA11 8LY,5,fhrs_5_en-GB,2018-03-20,421,St Helens,http://www.sthelens.gov.uk,environmentalhealth@sthelens.gov.uk,0,5,0,FHRS,False,-2.77073400000000,53.49197600000000,,,,
735845,B12HSH2SAN/19,2 U Food Limited MK64 NPZ,Mobile caterer,7846,2 Sandwash Close,Rainford,WA11 8LY,5,fhrs_5_en-GB,2018-03-14,421,St Helens,http://www.sthelens.gov.uk,environmentalhealth@sthelens.gov.uk,5,5,0,FHRS,False,-2.77073400000000,53.49197600000000,,,,
735839,B12HSH2SAN/12,2 U Food Limited MK64 NRU,Mobile caterer,7846,2 Sandwash Close,Rainford,WA11 8LY,5,fhrs_5_en-GB,2018-03-20,421,St Helens,http://www.sthelens.gov.uk,environmentalhealth@sthelens.gov.uk,0,5,5,FHRS,False,-2.77073400000000,53.49197600000000,,,,
865988,B12HSH2SAN/28,2 U Food Limited MV63 AUH,Mobile caterer,7846,2 Sandwash Close,Rainford,WA11 8LY,5,fhrs_5_en-GB,2019-04-24,421,St Helens,http://www.sthelens.gov.uk,environmentalhealth@sthelens.gov.uk,5,5,5,FHRS,False,-2.77073400000000,53.49197600000000,,,,
