FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores/Hygiene,Scores/Structural,Scores/ConfidenceInManagement,SchemeType,NewRatingPending,Geocode/Longitude,Geocode/Latitude,AddressLine3,RatingDate/_xsi:nil,AddressLine4,RightToReply
1200603,357495,1984,Pub/bar/nightclub,7843,Queen Street,Wigan,WN3 4DY,2,fhrs_2_en-GB,2020-01-08,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,10,15,5,FHRS,False,-2.63350701332092,53.54311752319340,,,,
1182208,360804,3A's Petroleum Ltd,Retailers - other,4613,Whelley,Wigan,WN1 3PX,3,fhrs_3_en-GB,2019-08-19,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,10,10,10,FHRS,False,-2.61561989784241,53.55318069458010,,,,
1015154,330428,3L Care Atherton,School/college/university,7845,14 Bee Fold Lane,Atherton,M46 0BL,4,fhrs_4_en-GB,2017-11-13,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,10,0,10,FHRS,False,-2.49931001663208,53.52034759521480,Manchester,,,
1220924,366610,4 Ways Cafe and Sandwich Bar Ltd,Restaurant/Cafe/Canteen,1,74 Westleigh Lane,Leigh,WN7 5JE,AwaitingInspection,fhrs_awaitinginspection_en-GB,,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,,,,FHRS,False,-2.52603888511658,53.51086044311520,,true,,
1152158,358869,4Sweet Moments,Restaurant/Cafe/Canteen,1,,,,5,fhrs_5_en-GB,2019-06-10,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,0,0,5,FHRS,False,,,,,,
1221262,50843,A & L Bakes,Restaurant/Cafe/Canteen,1,12 Bratton Close,Winstanley,WN3 6LT,AwaitingInspection,fhrs_awaitinginspection_en-GB,,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,,,,FHRS,False,-2.67629980000000,53.51725570000000,Wigan,true,,
1130477,356569,A Fine Kettle of Fish,Takeaway/sandwich shop,7844,Walthew Lane,Platt Bridge,WN2 5AT,5,fhrs_5_en-GB,2019-04-13,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,5,0,5,FHRS,False,-2.58336000000000,53.54173300000000,Wigan,,,
869700,311300,AB World Foods Ltd,Retailers - other,4613,Kiribati Way,Leigh,WN7 5RS,5,fhrs_5_en-GB,2019-12-04,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,0,5,0,FHRS,False,-2.52817500000000,53.50440500000000,,,,
737002,110772,ABC Castle Nursery,Hospitals/Childcare/Caring Premises,5,95 Church Street,Leigh,WN7 1AZ,4,fhrs_4_en-GB,2019-08-28,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,10,5,5,FHRS,False,-2.51395200000000,53.49774300000000,Wigan,,,
189830,313444,ABC Childcare,Hospitals/Childcare/Caring Premises,5,Charles Street,Ince,WN2 2AL,5,fhrs_5_en-GB,2018-09-11,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,0,0,0,FHRS,False,-2.60400000000000,53.54168100000000,Wigan,,,
978535,327015,ABC Childcare @ Ince Community Centre,Hospitals/Childcare/Caring Premises,5,Manchester Road,Ince,WN2 2DJ,4,fhrs_4_en-GB,2017-06-05,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,5,10,5,FHRS,False,-2.60394800000000,53.54334400000000,Wigan,,,
99057,312589,ABC Childcare@Meadowbank Children's Centre,Hospitals/Childcare/Caring Premises,5,Formby Avenue,Atherton,M46 0HX,5,fhrs_5_en-GB,2020-01-09,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,5,0,5,FHRS,False,-2.49000400000000,53.52820700000000,Manchester,,,
732553,323171,ABC Pre-School Ltd,School/college/university,7845,Leigh Road,Atherton,M46 0PA,4,fhrs_4_en-GB,2019-02-11,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,10,0,10,FHRS,False,-2.50452700000000,53.51899700000000,Manchester,,,
54390,122640,ABC Private Day Nursery,Hospitals/Childcare/Caring Premises,5,235 Orrell Road,Orrell,WN5 8LY,4,fhrs_4_en-GB,2019-05-14,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,10,5,5,FHRS,False,-2.70068600000000,53.53913900000000,Wigan,,,
455089,151384,Abel & Cole,Distributors/Transporters,7,St Helens Road,Leigh,WN7 3PT,5,fhrs_5_en-GB,2012-08-23,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,0,0,0,FHRS,False,-2.54600800000000,53.47948000000000,Wigan,,,
499733,311699,"Abram Bryn Gates Primary School ""Breakfast Club""",School/college/university,7845,Abram Bryn Gates Community  Pr,Lily Lane,WN2 5J,3,fhrs_3_en-GB,2018-02-05,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,10,10,10,FHRS,False,,,"Platt Bridge,  Wigan",,,
973251,330691,Abram Post Office,Retailers - other,4613,357 Warrington Road,Abram,WN2 5RZ,3,fhrs_3_en-GB,2017-05-17,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,10,10,10,FHRS,False,-2.59239346956303,53.50812268532280,Wigan,,,
509477,117532,Abram Village Club,Pub/bar/nightclub,7843,333 Warrington Road,Abram,WN2 5RJ,5,fhrs_5_en-GB,2018-05-11,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,0,0,0,FHRS,False,-2.59237000000000,53.50854400000000,,,,
1019507,343447,Ace Pizza,Takeaway/sandwich shop,7844,51 Railway Road,Leigh,WN7 4AA,1,fhrs_1_en-GB,2020-01-15,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,15,10,20,FHRS,False,-2.52070900000000,53.49674300000000,,,,
1264896,371131,Acorns,Hospitals/Childcare/Caring Premises,5,Parkside,Hindley,WN2 3LJ,AwaitingInspection,fhrs_awaitinginspection_en-GB,,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,,,,FHRS,False,-2.58209991455078,53.52884674072266,Wigan,true,,
1127383,352173,ACT Food Bank (Ashton Churches Together) (Car Park),Retailers - other,4613,Warrington Road,Ashton-In-Makerfield,WN4 9PL,5,fhrs_5_en-GB,2019-03-14,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,0,0,0,FHRS,False,-2.63953709602356,53.48563003540040,,,,
98704,311299,Adactus Housing Association,Restaurant/Cafe/Canteen,1,Eliot Drive,Worsley Mesnes,WN3 5TW,5,fhrs_5_en-GB,2018-12-22,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,0,0,5,FHRS,False,-2.64525400000000,53.53261100000000,Wigan,,,
983678,328841,Admiral,Restaurant/Cafe/Canteen,1,84-86 Bradshawgate,Leigh,WN7 4NP,5,fhrs_5_en-GB,2017-06-21,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,0,0,0,FHRS,False,-2.51447296142578,53.49591827392580,,,,
72309,164685,AFC Hindley Juniors,Pub/bar/nightclub,7843,151 Park Road,Hindley,WN2 3RX,5,fhrs_5_en-GB,2005-12-01,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,5,5,5,FHRS,False,-2.57424600000000,53.52747300000000,Wigan,,,
1101471,354684,Afternoon Tea at Edengarth,Restaurant/Cafe/Canteen,1,,,,5,fhrs_5_en-GB,2019-03-11,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,0,0,0,FHRS,False,,,,,,
908890,323698,Age UK Wigan Borough,Hospitals/Childcare/Caring Premises,5,Gathurst Lane,Shevington,WN6 8HA,4,fhrs_4_en-GB,2016-08-01,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,10,0,0,FHRS,False,-2.69423700000000,53.57106800000000,Wigan,,,
1246048,343021,Age UK Wigan Borough,Hospitals/Childcare/Caring Premises,5,Haig Street,Wigan,WN3 4AZ,AwaitingInspection,fhrs_awaitinginspection_en-GB,,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,,,,FHRS,False,-2.64116692543030,53.54272460937500,,true,,
1212082,365538,AimZ Tasty Box,Restaurant/Cafe/Canteen,1,322 Holden Road,Leigh,WN7 2HG,AwaitingInspection,fhrs_awaitinginspection_en-GB,,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,,,,FHRS,False,-2.50286240000000,53.49825660000000,,true,,
98076,307616,AJ 's Convenience Store,Retailers - other,4613,37 Ashbourne Avenue,Whelley,WN2 1AF,5,fhrs_5_en-GB,2018-04-23,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,0,0,0,FHRS,False,-2.60844600000000,53.55497000000000,Wigan,,,
1200703,364262,Ajanta Indian Cuisine,Takeaway/sandwich shop,7844,717 Ormskirk Road,Wigan,WN5 8AQ,3,fhrs_3_en-GB,2019-10-10,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,10,10,10,FHRS,False,-2.68084100000000,53.53619800000000,,,,
1200634,360603,Ajmeer Manzil,Restaurant/Cafe/Canteen,1,11 High Street,Standish,WN6 0HA,1,fhrs_1_en-GB,2019-10-02,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,15,10,20,FHRS,False,-2.66354300000000,53.58584000000000,Wigan,,,
448607,120887,Al Capone,Takeaway/sandwich shop,7844,56 Market Street,Hindley,WN2 3AN,3,fhrs_3_en-GB,2019-07-27,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,10,10,10,FHRS,False,-2.57753200000000,53.53616700000000,,,,
1200580,320351,Alberts Bar & Restaurant,Restaurant/Cafe/Canteen,1,School Lane,Standish,WN6 0TD,3,fhrs_3_en-GB,2019-10-30,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,10,5,10,FHRS,False,-2.66629200000000,53.58582500000000,Wigan,,,
746287,323308,Albion Ale House,Pub/bar/nightclub,7843,12 High Street,Standish,WN6 0HL,3,fhrs_3_en-GB,2019-03-14,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,5,10,10,FHRS,False,-2.66313800000000,53.58607500000000,Wigan,,,
983679,330268,Alborz,Takeaway/sandwich shop,7844,71 Ormskirk Road,Wigan,WN5 9EA,2,fhrs_2_en-GB,2019-01-06,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,10,15,10,FHRS,False,-2.65242695808411,53.53991699218750,,,,
851704,323606,Aldi,Retailers - supermarkets/hypermarkets,7840,2 Preston Road,Standish,WN6 0HS,5,fhrs_5_en-GB,2016-02-25,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,0,5,0,FHRS,False,-2.66477540000000,53.58655030000000,Wigan,,,
98027,307322,Aldi,Retailers - supermarkets/hypermarkets,7840,5 Princess Road,Ashton-In-Makerfield,WN4 9DA,5,fhrs_5_en-GB,2008-07-04,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,5,5,5,FHRS,False,-2.63383400000000,53.48721700000000,Wigan,,,
99154,312853,Aldi,Retailers - supermarkets/hypermarkets,7840,641 Atherton Road,Hindley Green,WN2 4SQ,5,fhrs_5_en-GB,2011-07-06,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,0,0,0,FHRS,False,-2.55141800000000,53.52481200000000,Wigan,,,
98514,310464,Aldi,Retailers - supermarkets/hypermarkets,7840,70 King Street,Leigh,WN7 4LJ,5,fhrs_5_en-GB,2019-05-17,434,Wigan,http://www.wigan.gov.uk/,comm@wigan.gov.uk,0,5,0,FHRS,False,-2.51973100000000,53.49446400000000,,,,
